size,maze_number,solver,solve_time,solution_found,solution_length
5,1,Collision,0.000179290771484375,True,17
5,2,Collision,0.00010538101196289062,True,17
5,3,Collision,0.0001068115234375,True,17
5,4,Collision,9.989738464355469e-05,True,17
5,5,Collision,9.799003601074219e-05,True,17
5,6,Collision,6.67572021484375e-05,True,17
5,7,Collision,9.918212890625e-05,True,17
5,8,Collision,0.00010037422180175781,True,17
5,9,Collision,9.036064147949219e-05,True,17
5,10,Collision,9.846687316894531e-05,True,17
10,1,Collision,0.0004322528839111328,True,41
10,2,Collision,0.00040984153747558594,True,37
10,3,Collision,0.0004360675811767578,True,37
10,4,Collision,0.00040984153747558594,True,37
10,5,Collision,0.0004665851593017578,True,41
10,6,Collision,0.0004596710205078125,True,37
10,7,Collision,0.00038313865661621094,True,37
10,8,Collision,0.00039386749267578125,True,41
10,9,Collision,0.00041174888610839844,True,37
10,10,Collision,0.00043082237243652344,True,45
25,1,Collision,0.00411224365234375,True,97
25,2,Collision,0.0032601356506347656,True,105
25,3,Collision,0.003212451934814453,True,105
25,4,Collision,0.0030968189239501953,True,105
25,5,Collision,0.003216981887817383,True,105
25,6,Collision,0.003723621368408203,True,101
25,7,Collision,0.0034363269805908203,True,117
25,8,Collision,0.003040790557861328,True,121
25,9,Collision,0.0030434131622314453,True,97
25,10,Collision,0.0038568973541259766,True,101
50,1,Collision,0.015571355819702148,True,217
50,2,Collision,0.02066969871520996,True,269
50,3,Collision,0.017119884490966797,True,205
50,4,Collision,0.01715087890625,True,257
50,5,Collision,0.019060134887695312,True,217
50,6,Collision,0.01793050765991211,True,225
50,7,Collision,0.018313884735107422,True,237
50,8,Collision,0.021332502365112305,True,233
50,9,Collision,0.01848459243774414,True,197
50,10,Collision,0.018298625946044922,True,253
100,1,Collision,0.10851407051086426,True,525
100,2,Collision,0.13591432571411133,True,433
100,3,Collision,0.12427997589111328,True,469
100,4,Collision,0.11754512786865234,True,493
100,5,Collision,0.11895918846130371,True,429
100,6,Collision,0.12310242652893066,True,457
100,7,Collision,0.10847997665405273,True,505
100,8,Collision,0.1191856861114502,True,481
100,9,Collision,0.12346029281616211,True,437
100,10,Collision,0.1277170181274414,True,433
